path,package,category,proposed_disposition,review_depth,bytes,sha256
docs/as-built/2026-09-25/diagrams.json,,documentation,retain-review-in-context,mechanical-census,25784,275a06f21134eae60c5de3949acd1f4afdfed1ce8d6de2026243fd406881cbba
docs/as-built/2026-09-25/entrypoints.md,,documentation,retain-review-in-context,mechanical-census,12683,8b740ca1030e2ab5f613a03706ccc8d75b77092fcd9972629137b6a9ca6ab0f9
docs/as-built/2026-09-25/evidence.json,,documentation,retain-review-in-context,mechanical-census,50213,79155db5714477fe1def58c2ebeee6d2042ba4215d9d0d35c1878df142a7802e
docs/as-built/2026-09-25/evidence.md,,documentation,retain-review-in-context,mechanical-census,53843,b215016c62ff231e945f14f4ccf135df7b53242e9667ccfd957a26bce32764c5
docs/as-built/2026-09-25/execution.md,,documentation,retain-review-in-context,mechanical-census,16013,ea5ef67f259ffe4af9257ec81b2db97a354bc16e6ac4b6242e439975f79e8e18
docs/as-built/2026-09-25/inventory-output.json,,documentation,retain-review-in-context,mechanical-census,2572,9a13aa5d8d991fa67f81ae72a1579ac1b49d8222c51f2c82103388286c102ef6
docs/as-built/2026-09-25/limits.md,,documentation,retain-review-in-context,mechanical-census,7482,f7ad2baf5e88ef859f7dd94ec3f171c6c7b7f2cbba21cc99712c324d7b6fba3e
docs/as-built/2026-09-25/mermaid-results.json,,documentation,retain-review-in-context,mechanical-census,4352,d3dabad749eacf0016d9a30ef8d2f6d0951672c5c001a58505bee70b9233d3fb
docs/as-built/2026-09-25/operations.md,,documentation,retain-review-in-context,mechanical-census,13752,1f804562a02ff1891faafc1f4eada856303b4be4784d6c9dc7d64c984b9279b3
docs/as-built/2026-09-25/organizations-and-squads.md,,documentation,retain-review-in-context,mechanical-census,8249,d4dec66ae64e51e9aabbc96d2ef1be274b51605087a4efb31a78f966fae4526e
docs/as-built/2026-09-25/organizations-and-squads.md.in,,documentation,retain-review-in-context,mechanical-census,7462,44e48e1f8bf9c2e1acaacfdadee2fc2a5c01895b2edbb0b219bd6eb4606c81d9
docs/as-built/2026-09-25/packages.json,,documentation,retain-review-in-context,mechanical-census,40134,3bff898a992f01677ef44657be51dbae7710d4b808fcf3053d51c449c22d218c
